sample	experiment	burnunit	burnfreq	depth	yearssinceburn	percentwoodyveg
trimmed_2589	E133	103	0.8	0-20	2	0.225988701
trimmed_2593	E133	103	0.8	0-20	2	0.225988701
trimmed_2595	E133	103	0.8	0-20	2	0.225988701
trimmed_2599	E133	103	0.8	0-20	2	0.225988701
trimmed_2609	E133	105	0.5	0-20	2	0.198899374
trimmed_2613	E133	105	0.5	0-20	2	0.198899374
trimmed_2649	E133	209	0	0-20	0	0.536752136
trimmed_2653	E133	209	0	0-20	0	0.536752136
trimmed_2655	E133	209	0	0-20	0	0.536752136
trimmed_2659	E133	110	0	0-20	0	0.536752136
trimmed_2750	sandra	105	0.5	0-20	2	0.198899374
trimmed_2754	sandra	105	0.5	0-20	2	0.198899374
