genome,asdf,taxonomy,tax.index,Anthranilate,Salicylate,Benzene,Benzoate (Catechol),Benzoate (Cyclohexane),Benzoyl-CoA,Catechol (Meta),Catechol (Ortho),Cumate,Homoprotocatechuate,Phthalate,Terephtalate,Toluene  ,Trans-cinnamate,Protocatechuate (3-oxoadipate),Protocatechuate (Oxaloacteate + Pyruvate),CAZy: Amorphous Cellulose,CAZy: Arabinan,CAZy: Mixed-Linkage glucans,CAZy: Polyphenolics,CAZy: Xyloglucan,Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation,Nitrogen metabolism: nitrite => nitric oxide,"Other Reductases: arsenate reduction, pt 1",SCFA and alcohol conversions: Alcohol production,"SCFA and alcohol conversions: Propionate, pt 2","SCFA and alcohol conversions: acetate, pt 1 or 2",SCFA and alcohol conversions: lactate L,SCFA and alcohol conversions: pyruvate => acetyl CoA v1 or v2,"Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate"
2659_bin.11_renamed,2659_bin.11_renamed,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__,28,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
2653_bin.24_renamed,2653_bin.24_renamed,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__,27,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
2595_bin.2_renamed,2595_bin.2_renamed,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__UBA10450;g__Udaeobacter;s__,26,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
coass_bin.80_renamed,coass_bin.80_renamed,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__,25,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1
2653_bin.13_renamed,2653_bin.13_renamed,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__,24,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1
2599_bin.27_renamed,2599_bin.27_renamed,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Methyloligellaceae;g__Methyloceanibacter;s__,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2649_bin.1_renamed,2649_bin.1_renamed,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__,22,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1
2653_bin.25_renamed,2653_bin.25_renamed,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__,21,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
2599_bin.29_renamed,2599_bin.29_renamed,d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__GWC2-71-9;g__JACDDX01;s__,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
coass_bin.24_renamed,coass_bin.24_renamed,d__Bacteria;p__Dormibacterota;c__Dormibacteria;o__Dormibacterales;f__Dormibacteraceae;g__40CM-4-65-16;s__,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
